x,y,width,height,label
353.0,-53.110998577658215,10.0,10.0,1
-353.0,-170.6741550473986,10.0,10.0,1
-353.0,-131.54477115116998,10.0,10.0,1
-353.0,-86.06066870377758,10.0,10.0,1
353.0,227.894530880012,10.0,10.0,1
353.0,2.2705498734050287,10.0,10.0,1
353.0,-14.25546297594825,10.0,10.0,1
-353.0,-126.46404973449322,10.0,10.0,1
-353.0,-127.59702191794798,10.0,10.0,1
353.0,64.15615583428276,10.0,10.0,1
-353.0,-61.30097395165854,10.0,10.0,1
-353.0,-114.58552778322212,10.0,10.0,1
-353.0,23.29256781395261,10.0,10.0,1
353.0,137.67419608671406,10.0,10.0,1
353.0,-14.419771319999438,10.0,10.0,1
-353.0,-161.92354782366982,10.0,10.0,1
-353.0,-129.36398002480234,10.0,10.0,1
353.0,111.39156102737975,10.0,10.0,1
-353.0,-94.93447365894724,10.0,10.0,1
-353.0,-80.35091847500912,10.0,10.0,1
353.0,29.400107036540078,10.0,10.0,1
-353.0,-64.78817656015943,10.0,10.0,1
353.0,26.75221550923525,10.0,10.0,1
-353.0,-229.68151783724545,10.0,10.0,1
-353.0,-163.959065977843,10.0,10.0,1
353.0,129.99447492661199,10.0,10.0,1
-353.0,-65.52039823698175,10.0,10.0,1
325.9676513671875,224.76704467773436,10.0,10.0,1
353.0,37.19734994711044,10.0,10.0,1
-353.0,-46.50109252604539,10.0,10.0,1
353.0,-7.787571790087265,10.0,10.0,1
-353.0,-79.50020215653981,10.0,10.0,1
353.0,-12.89815695920894,10.0,10.0,1
353.0,262.49760964498495,10.0,10.0,1
-353.0,-45.89311980504212,10.0,10.0,1
353.0,60.32209485892078,10.0,10.0,1
353.0,107.19352273981563,10.0,10.0,1
-353.0,-226.68008640233214,10.0,10.0,1
-353.0,-155.6439374717578,10.0,10.0,1
-353.0,-199.29788282453188,10.0,10.0,1
-353.0,-236.42069765714814,10.0,10.0,1
353.0,74.16196454480195,10.0,10.0,1
353.0,80.70882406378524,10.0,10.0,1
353.0,-32.7644751366652,10.0,10.0,1
-353.0,-104.98826771799104,10.0,10.0,1
-353.0,42.8542918010297,10.0,10.0,1
-353.0,-177.36104721139856,10.0,10.0,1
-353.0,-173.0019456880614,10.0,10.0,1
-353.0,-7.486177057836116,10.0,10.0,1
353.0,16.55523256274482,10.0,10.0,1
353.0,50.85782793213239,10.0,10.0,1
-353.0,-104.61858147519813,10.0,10.0,1
353.0,149.3705955786988,10.0,10.0,1
-353.0,-181.2972490868242,10.0,10.0,1
-353.0,-115.11617819252588,10.0,10.0,1
-353.0,30.40661101745856,10.0,10.0,1
-353.0,-288.87290430653167,10.0,10.0,1
-353.0,-150.86331242253405,10.0,10.0,1
-353.0,-123.66646259726997,10.0,10.0,1
353.0,98.96307702571117,10.0,10.0,1
-353.0,-185.57613555570944,10.0,10.0,1
353.0,96.34759722503547,10.0,10.0,1
-353.0,-69.57107456729642,10.0,10.0,1
353.0,-8.434795396171765,10.0,10.0,1
353.0,62.06587307327561,10.0,10.0,1
353.0,2.802923327016608,10.0,10.0,1
-353.0,-380.03108493118384,10.0,10.0,1
353.0,82.49710268438227,10.0,10.0,1
353.0,85.72958580086501,10.0,10.0,1
353.0,132.51966599424392,10.0,10.0,1
-353.0,-253.26634335463692,10.0,10.0,1
353.0,-46.57533157993724,10.0,10.0,1
-353.0,8.248749109115195,10.0,10.0,1
353.0,74.1358644355849,10.0,10.0,1
353.0,55.04125037280551,10.0,10.0,1
353.0,23.284310212369274,10.0,10.0,1
353.0,141.8990773728583,10.0,10.0,1
353.0,91.42435412756438,10.0,10.0,1
353.0,80.03284893224723,10.0,10.0,1
353.0,78.32714150149216,10.0,10.0,1
