DY
150
4
Sep_len;Sep_wid;Pet_len;Pet_wid
0;5.1;3.5;1.4;0.2;1
1;4.4;3;1.3;0.2;1
2;6.5;2.8;4.6;1.5;2
3;6.4;2.9;4.3;1.3;2
4;6.8;2.8;4.8;1.4;2
5;5.5;2.4;3.8;1.1;2
6;6.4;3.2;5.3;2.3;3
7;6.3;2.7;4.9;1.8;3
8;7.7;3;6.1;2.3;3
9;4.6;3.1;1.5;0.2;1
10;5.4;3.9;1.3;0.4;1
11;4.8;3.1;1.6;0.2;1
12;5;3.5;1.6;0.6;1
13;5.2;2.7;3.9;1.4;2
14;5;2;3.5;1;2
15;6.7;3.1;4.7;1.5;2
16;5.6;3;4.1;1.3;2
17;5.7;2.5;5;2;3
18;6.1;3;4.9;1.8;3
19;6.3;2.5;5;1.9;3
20;6.5;3;5.2;2;3
21;4.6;3.4;1.4;0.3;1
22;4.8;3.4;1.6;0.2;1
23;5.1;3.5;1.4;0.3;1
24;6;2.2;4;1;2
25;5.7;3;4.2;1.2;2
26;5;3.6;1.4;0.2;1
27;4.4;2.9;1.4;0.2;1
28;5.7;3.8;1.7;0.3;1
29;4.9;2.4;3.3;1;2
30;5.6;3;4.5;1.5;2
31;5.5;2.5;4;1.3;2
32;6.2;2.9;4.3;1.3;2
33;6.7;2.5;5.8;1.8;3
34;6.5;3.2;5.1;2;3
35;5.6;2.8;4.9;2;3
36;5.9;3;5.1;1.8;3
37;6.4;3.2;4.5;1.5;2
38;6.3;2.5;4.9;1.5;2
39;6.1;2.8;4.7;1.2;2
40;6.1;3;4.6;1.4;2
41;6.4;2.8;5.6;2.2;3
42;6;3;4.8;1.8;3
43;6.8;3.2;5.9;2.3;3
44;4.9;3.1;1.5;0.1;1
45;5.2;3.4;1.4;0.2;1
46;5.7;2.8;4.5;1.3;2
47;6.3;3.3;4.7;1.6;2
48;6.6;2.9;4.6;1.3;2
49;6.1;2.9;4.7;1.4;2
50;5.8;2.7;4.1;1;2
51;6.6;3;4.4;1.4;2
52;6.3;2.3;4.4;1.3;2
53;5.8;2.7;5.1;1.9;3
54;7.1;3;5.9;2.1;3
55;7.9;3.8;6.4;2;3
56;6.9;3.1;5.1;2.3;3
57;6.7;3.3;5.7;2.5;3
58;5.1;3.8;1.5;0.3;1
59;4.8;3.4;1.9;0.2;1
60;5;3.4;1.6;0.4;1
61;5;3.2;1.2;0.2;1
62;5.5;3.5;1.3;0.2;1
63;4.5;2.3;1.3;0.3;1
64;5.5;2.3;4;1.3;2
65;6;3.4;4.5;1.6;2
66;6.5;3;5.8;2.2;3
67;6.8;3;5.5;2.1;3
68;5.8;2.8;5.1;2.4;3
69;6.9;3.2;5.7;2.3;3
70;6.7;3.3;5.7;2.1;3
71;6.4;2.8;5.6;2.1;3
72;7.4;2.8;6.1;1.9;3
73;6.9;3.1;5.4;2.1;3
74;4.9;3;1.4;0.2;1
75;4.3;3;1.1;0.1;1
76;5.2;3.5;1.5;0.2;1
77;5.2;4.1;1.5;0.1;1
78;6.7;3.1;4.4;1.4;2
79;7.6;3;6.6;2.1;3
80;6.4;2.7;5.3;1.9;3
81;7.2;3;5.8;1.6;3
82;6.3;3.4;5.6;2.4;3
83;5.7;4.4;1.5;0.4;1
84;4.6;3.6;1;0.2;1
85;5.1;3.3;1.7;0.5;1
86;4.4;3.2;1.3;0.2;1
87;5;3.3;1.4;0.2;1
88;7;3.2;4.7;1.4;2
89;5.6;2.9;3.6;1.3;2
90;7.7;2.8;6.7;2;3
91;5.8;2.7;5.1;1.9;3
92;5.4;3.9;1.7;0.4;1
93;5.1;3.7;1.5;0.4;1
94;5.5;4.2;1.4;0.2;1
95;5.6;2.5;3.9;1.1;2
96;5.9;3.2;4.8;1.8;2
97;5.7;2.6;3.5;1;2
98;4.9;2.5;4.5;1.7;3
99;6.1;2.6;5.6;1.4;3
100;6.7;3.1;5.6;2.4;3
101;4.7;3.2;1.3;0.2;1
102;5.4;3.4;1.7;0.2;1
103;5.1;3.4;1.5;0.2;1
104;5.1;3.8;1.6;0.2;1
105;6.2;2.2;4.5;1.5;2
106;5.8;2.7;3.9;1.2;2
107;6;2.7;5.1;1.6;2
108;5.1;2.5;3;1.1;2
109;6;2.2;5;1.5;3
110;5;3.4;1.5;0.2;1
111;4.8;3;1.4;0.1;1
112;4.7;3.2;1.6;0.2;1
113;4.9;3.1;1.5;0.2;1
114;5;3.5;1.3;0.3;1
115;5.1;3.8;1.9;0.4;1
116;5.3;3.7;1.5;0.2;1
117;6.1;2.8;4;1.3;2
118;5;2.3;3.3;1;2
119;5.7;2.9;4.2;1.3;2
120;6.3;2.9;5.6;1.8;3
121;7.2;3.6;6.1;2.5;3
122;7.7;2.6;6.9;2.3;3
123;7.2;3.2;6;1.8;3
124;5.4;3.7;1.5;0.2;1
125;5.8;4;1.2;0.2;1
126;5.9;3;4.2;1.5;2
127;5.4;3;4.5;1.5;2
128;5.6;2.7;4.2;1.3;2
129;6.2;2.8;4.8;1.8;3
130;6.7;3;5.2;2.3;3
131;6.2;3.4;5.4;2.3;3
132;5.4;3.4;1.5;0.4;1
133;4.9;3.6;1.4;0.1;1
134;6.9;3.1;4.9;1.5;2
135;6;2.9;4.5;1.5;2
136;6.3;3.3;6;2.5;3
137;7.3;2.9;6.3;1.8;3
138;6.5;3;5.5;1.8;3
139;6.3;2.8;5.1;1.5;3
140;5;3;1.6;0.2;1
141;4.8;3;1.4;0.3;1
142;4.6;3.2;1.4;0.2;1
143;6.7;3;5;1.7;2
144;5.5;2.4;3.7;1;2
145;5.5;2.6;4.4;1.2;2
146;5.8;2.6;4;1.2;2
147;5.7;2.8;4.1;1.3;2
148;7.7;3.8;6.7;2.2;3
149;6.4;3.1;5.5;1.8;3
